,CAGR (%),Vol (%),Sharpe,Sortino,Max DD (%),Calmar,Alpha (%),Beta,Hit (%)
FAA,10.98,13.84,0.537,0.714,-26.46,0.415,3.23,0.727,63.2
EAA (Golden Defensive),7.0,10.34,0.32,0.448,-16.13,0.434,2.22,0.452,62.4
FAA + MA Filter,10.23,12.29,0.531,0.801,-28.88,0.354,6.4,0.366,60.3
EAA + MA Filter,7.81,9.53,0.419,0.629,-15.37,0.508,4.77,0.286,59.0
Equal Weight,10.12,15.03,0.453,0.59,-49.12,0.206,-0.16,0.974,66.2
SPY Buy&Hold,10.6,15.12,0.481,0.637,-50.78,0.209,0.0,1.0,66.7
